ネタ名,順位
サーモン,1
マグロ,2
中トロ,3
炙りサーモン,4
ねぎとろ,5
大トロ,6
いくら,7
エビ,8
ハマチ,9
ぶり,10
鯛,11
鉄火巻き,12
甘エビ,13
エンガワ,14
カルビ,15
ホタテ,16
イカ,17
いなり寿司,18
たこ,19
たまご焼き,20
寿司,21
アジ,22
ウナギ,23
かつお,24
天ぷら,25
カンパチ,26
穴子,27
しめさば,28
赤エビ,29
いくらの醤油漬け,30
ハンバーグ,31
恵方巻き,32
真鯛（マダイ）,33
のどぐろ,34
しらす,35
つぶ貝,36
茶碗蒸し,37
とうもろこし,38
ボタンエビ,39
かっぱ巻き,40
ツナマヨ,41
鯖,42
たまご,43
赤貝,44
納豆,45
とびっこ,46
カニミソ,47
イワシ,48
ヤリイカ,49
ウニ,50
カワハギ,51
アオリイカ,52
ふぐ,53
鰹のたたき,54
ビントロ,55
ヒラメ,56
あわび,57
焼き鯖寿司,58
数の子,59
とろたく,60
オニオンサーモン,61
小肌,62
とり貝,63
桜えび,64
生サーモン,65
かんぴょう巻き,66
わさび,67
馬刺し,68
ツナマヨサラダ,69
シャコ,70
漬けマグロ,71
カニ,72
カレイ,73
ししゃも,74
煮ハマグリ,75
辛子明太子,76
キムチ,77
めかぶ,78
シイラ,79
ムール貝,80
カキフライ,81
鱸,82
シーサラダ,83
とろろ,84
生エビ,85
さんま,86
白子,87
ほや,88
オクラ,89
あん肝,90
煮ホタテ,91
チャンジャ,92
キス,93
ホタルイカの沖漬け,94
カキ,95
お新香巻き,96
石垣貝,97
山芋,98
タラバガニ,99
コチ,100
黄金イカ,101
熟成マグロ,102
月見納豆,103
生ハム,104
シャリ,105
あさり,106
コーン,107
ツナごはん,108
なす漬け,109
鯨肉,110
なまこ,111
サバサンド,112
まぐたく,113
カサゴ,114
芽ネギ,115
しんこ巻,116
カニカマ,117
きびなご,118
トビウオ,119
カジキマグロ,120
わかめ,121
貝柱,122
パンガシウス,123
バイガイ,124
ガリ,125
マテガイ,126
アイナメ,127
カオラーム,128
